advisee,year,advisor
Isaac Newton,1668,
Roger Cotes,1706,Isaac Newton
Robert Smith,1715,Roger Cotes
Walter Taylor,1723,Robert Smith
Stephen Whisson,1742,Walter Taylor
Thomas Postlethwaite,1756,Stephen Whisson
Thomas Jones,1782,Thomas Postlethwaite
Adam Sedgwick,1811,Thomas Jones
William Hopkins,1830,Adam Sedgwick
Arthur Cayley,1864,William Hopkins
Maxwell James,1854,William Hopkins
Edward Routh,1857,William Hopkins
Andrew Forsyth,1881,Arthur Cayley
Henry Baker,1882,Arthur Cayley
George Darwin,1871,Edward Routh
John Strutt,1868,Edward Routh
Edmund Whittaker,1895,George Darwin
Ernest Brown,1897,George Darwin
Joseph Thomson,1883,John Strutt
Harold Jeffreys,1917,Henry Baker
John Todd,1932,Henry Baker
Louis Mordell,1930,Henry Baker
GH Hardy,1903,Edmund Whittaker
Alexander Aitken,1925,Edmund Whittaker
Arthur Eddington,1905,Edmund Whittaker
Ernest Rutherford,1895,Joseph Thomson
Edward Appleton,1913,Joseph Thomson
Owen Richardson,1904,Joseph Thomson
Paul Langevin,1902,Joseph Thomson
Hermann Bondi,1944,Harold Jeffreys
Andrew Young,1959,Harold Jeffreys
Sydney Goldstein,1928,Harold Jeffreys
Roger Penrose,1958,John Todd
JW Cassels,1949,Louis Mordell
Eric Barnes,1952,Louis Mordell
Sydney Chapman,1911,GH Hardy
Richard Rado,1935,GH Hardy
Frank Smithies,1937,GH Hardy
Donald Spencer,1939,GH Hardy
Edward Titchmarsh,1923,GH Hardy
Mary Cartwright,1930,GH Hardy
Henry Daniels,1943,Alexander Aitken
Donald Livingstone,1949,Alexander Aitken
Leonard Shenton,1940,Alexander Aitken
Subrahmanyan Chandrasekhar,1933,Arthur Eddington
Max Krook,1938,Arthur Eddington
Ralph Fowler,1915,Ernest Rutherford
Patrick Blackett,1924,Ernest Rutherford
Karl Emeleus,1926,Edward Appleton
Charles Oatley,1926,Edward Appleton
Karl Compton,1912,Owen Richardson
Ali Mosharafa,1923,Owen Richardson
Dennis Sciama,1953,Hermann Bondi
Roger Tayler,1954,Hermann Bondi
Norman Lebovitz,1961,Subrahmanyan Chandrasekhar
Jeremiah Ostriker,1964,Subrahmanyan Chandrasekhar
John McCarthy,1951,Donald Spencer
Phillip Griffiths,1962,Donald Spencer
Patrick Gallagher,1959,Donald Spencer
Jacob Cooper,1940,Edward Titchmarsh
Szu-Hoa Min,1947,Edward Titchmarsh
George Temple,1924,Sydney Chapman
Franz Kahn,1949,Sydney Chapman
Bryan Birch,1958,JW Cassels
William Ellison,1970,JW Cassels
Paul Scott,1963,Eric Barnes
Roderick Worley,1966,Eric Barnes
Thomas Dickson,1969,Eric Barnes
Martin Brooks,1980,John McCarthy
Claude Green,1969,John McCarthy
Barbara Liskov,1968,John McCarthy
Pierre Vicens,1969,John McCarthy
Ruzena Bajcsy,1973,John McCarthy
Raj Reddy,1966,John McCarthy
Howard Garland,1964,Phillip Griffiths
Ko Honda,1997,Phillip Griffiths
James King,1969,Phillip Griffiths
Sunita Vatuk,2009,Phillip Griffiths
Robert Edwards,1951,Jacob Cooper
Ron Larham,1980,Jacob Cooper
James Stewart,1967,Jacob Cooper
Seymour Papert,1959,Frank Smithies
Jeremiah O'Keeffe,1953,George Temple
Maurice Herlihy,1984,Barbara Liskov
Andrew Myers,1999,Barbara Liskov
William Weihl,1984,Barbara Liskov
Eric Brewer,1994,William Weihl
Michael Clarkson,2009,Andrew Myers
Owen Arden,2016,Andrew Myers
Stephan Zdancewic,2002,Andrew Myers
Stephen Chong,2009,Andrew Myers
Yizhou Zhang,2017,Andrew Myers
Igor Frenkel,1980,Howard Garland
John Ratcliffe,1924,Edward Appleton
Maurice Wilkes,1937,John Ratcliffe
Ronald Bracewell,1949,John Ratcliffe
Louis de Broglie,1924,Paul Langevin
Bernard d'Espagnat,1950,Louis de Broglie
Marie-Antoinette Tonnelat,1941,Louis de Broglie
Peter Law,1983,Roger Penrose
Matthew Ginsberg,1980,Roger Penrose
Tristan Needham,1986,Roger Penrose
Stephen Huggett,1980,Roger Penrose
Khursheed Khan,1969,Roger Penrose
William Shaw,1984,Roger Penrose
